id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   p_lc (080823)
 1,  623,    0,  TBUR,   typebox upper right
 2,  623, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  623,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  623,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  623,  321,  VHR,    cap-height (right)
10,  125.5,  0,  SPCL,   space left (Vorbreite)
11,  526.5,  0,  SPCR,   space right (Nachbreite)
12, 125.5, 486,   a1,    anchor 1
13, 125.5, 486,   c1,    control 1
14, 125.5, 1211,  c2,    control 2
15, 125.5, 1211,  a2,    anchor 2
16, 126.5, 594,   a3,    anchor 3
17,  169,  518,   c3,    control 3
18,  243,  480,   c4,    control 4
19, 310.5, 480,   a4,    anchor 4
20, 310.5, 480,   a5,    anchor 5
21,  411,  480,   c5,    control 5
22, 526.5, 565,   c6,    control 6
23, 526.5, 728.5, a6,    anchor 6
24, 526.5, 728.5, a7,    anchor 7
25, 526.5, 901,   c7,    control 7
26,  411,  984,   c8,    control 8
27, 310.5, 984,   a8,    anchor 8
28, 310.5, 984,   a9,    anchor 9
29,  243,  984,   c9,    control 9
30,  168,  946,   c10,   control 10
31, 125.5, 867,   a10,   anchor 10
